Product Name,Sales,revenue_percent,cumulative_percent,ABC_class,mean,std,CV,XYZ_class,ABC_XYZ
Field & Stream Sportsman 16 Gun Fire Safe,6929653.690575,18.838727773687765,18.838727773687765,A,509.55882352941177,90.18237117808141,0.17698127677083797,X,AX
Perfect Fitness Perfect Rip Deck,4421143.14353786,12.019173807039829,30.857901580727592,A,2167.5882352941176,378.7373854402608,0.17472755169704562,X,AX
Diamondback Women's Serene Classic Comfort Bi,4118425.571019,11.196215807168814,42.054117387896405,A,403.79411764705884,71.10887061050043,0.17610179916650992,X,AX
Nike Men's Free 5.0+ Running Shoe,3667633.19662996,9.970706538917808,52.024823926814214,A,1078.8235294117646,200.05051946616106,0.18543396024671419,X,AX
Nike Men's Dri-FIT Victory Golf Polo,3147800.0,8.557505170376528,60.582329097190744,A,1851.6470588235295,329.7159367250562,0.17806629786917705,X,AX
Pelican Sunstream 100 Kayak,3099845.08525,8.42713652214027,69.00946561933101,A,455.88235294117646,80.60256583098533,0.17680562827441942,X,AX
Nike Men's CJ Elite 2 TD Football Cleat,2891757.6623529997,7.861436923267595,76.8709025425986,B,654.2941176470588,114.85604413107865,0.17554191766864488,X,BX
O'Brien Men's Neoprene Life Vest,2888993.9135055,7.853923486882787,84.72482602948139,B,1700.0882352941176,306.6617293061426,0.18037989025498416,X,BX
Under Armour Girls' Toddler Spine Surge Runni,1269082.67110818,3.450086256955177,88.17491228643657,B,933.3823529411765,172.34690434330446,0.18464769962729957,X,BX
Dell Laptop,663000.0,1.8024099142129861,89.97732220064955,B,221.0,182.43354954612926,0.8254911744168745,Y,BY
Web Camera,267607.685032,0.7275094187349366,90.70483161938449,C,296.0,394.5655839020935,1.3329918375070726,Z,CZ
Lawn mower,257768.72827639998,0.700761555685455,91.40559317506995,C,242.0,206.47518010647187,0.8532032235804623,Y,CY
Children's heaters,232472.10397109998,0.6319909878966256,92.03758416296658,C,325.5,276.4787514439401,0.8493970858492783,Y,CY
Porcelain crafts,223356.325324,0.6072091329806315,92.64479329594721,C,242.0,15.556349186104045,0.0642824346533225,X,CX
Summer dresses,140283.00474499998,0.381368745924548,93.02616204187176,C,325.0,74.95331880577403,0.23062559632545857,X,CX
Smart watch ,117006.75,0.3180906881294726,93.34425273000123,C,178.5,47.37615433949868,0.2654126293529338,X,CX
Rock music,113122.09735260002,0.30752999967555483,93.65178272967678,C,217.0,103.23759005323593,0.47574926291813796,X,CX
Industrial consumer electronics,108738.402107,0.2956126304876849,93.94739536016446,C,143.33333333333334,93.02866941611781,0.6490372284845428,Y,CY
First aid kit,106080.483077,0.2883868995512635,94.23578225971573,C,181.0,82.02438661763951,0.4531734067272901,X,CX
DVDs ,79395.5423667,0.21584210061245437,94.45162436032818,C,161.0,185.5478374975036,1.1524710403571652,Z,CZ
adidas Youth Germany Black/Red Away Match Soc,67830.0,0.18440039891563628,94.63602475924382,C,34.607142857142854,9.669881786072349,0.2794186687409967,X,CX
LIJA Women's Eyelet Sleeveless Golf Polo,61490.0,0.16716468420053776,94.80318944344437,C,33.785714285714285,11.043205193800437,0.32686019601100663,X,CX
adidas Men's F10 Messi TRX FG Soccer Cleat,56330.61164488,0.15313854133094,94.95632798477531,C,33.535714285714285,11.026843149390936,0.3288089544014337,X,CX
Titleist Pro V1x High Numbers Personalized Go,47206.92146286,0.128335178377274,95.08466316315258,C,32.42857142857143,12.7872290787812,0.39431983943378146,X,CX
Under Armour Women's Micro G Skulpt Running S,46559.591034339996,0.12657536724283028,95.21123853039542,C,30.25,10.444296689262199,0.34526600625660164,X,CX
Nike Men's Comfort 2 Slide,44585.09062432,0.12120755560687607,95.33244608600229,C,35.392857142857146,10.067694155488912,0.28445553617930325,X,CX
Titleist Pro V1 High Numbers Personalized Gol,44243.491382600005,0.12027889518460794,95.4527249811869,C,30.392857142857142,10.268034850084007,0.33784368484412713,X,CX
Men's gala suit,43856.8012688,0.11922765220596349,95.57195263339287,C,104.0,103.23759005323593,0.9926691351272686,Y,CY
Adult dog supplies,41524.80075276,0.11288795258294645,95.68484058597582,C,164.0,71.12664760833313,0.43369907078251907,X,CX
Titleist Pro V1x Golf Balls,41415.37052844,0.1125904591874277,95.79743104516325,C,30.821428571428573,9.451841174464453,0.30666460357474473,X,CX
Titleist Pro V1x High Numbers Golf Balls,38392.00052236,0.10437122529105852,95.90180227045431,C,28.571428571428573,8.543694107042281,0.29902929374647985,X,CX
Under Armour Men's Compression EV SL Slide,36576.87057466,0.09943667293311076,96.00123894338742,C,29.035714285714285,9.811112908734488,0.33789810755789135,X,CX
TYR Boys' Team Digi Jammer,35191.2006334,0.09566963637209425,96.09690857975951,C,31.428571428571427,11.509830167130634,0.36622186895415654,X,CX
Clicgear Rovic Cooler Bag,34671.33045858,0.09425633447586618,96.19116491423539,C,30.964285714285715,11.143781334621675,0.3598914387190391,X,CX
Fighting video games,33270.75,0.09044876267466322,96.28161367691006,C,418.5,270.82189719444773,0.6471252023762192,Y,CY
SOLE E35 Elliptical,29999.84985,0.08155660150006178,96.36317027841012,C,7.5,2.1213203435596424,0.282842712474619,X,CX
ENO Atlas Hammock Straps,29930.019742160002,0.08136676367399637,96.44453704208412,C,35.642857142857146,10.705534344836115,0.300355673001414,X,CX
Bridgestone e6 Straight Distance NFL Carolina,29686.71978552,0.08070533644326405,96.52524237852738,C,33.142857142857146,12.146373596032337,0.3664854102251136,X,CX
Under Armour Hustle Storm Medium Duffle Bag,29601.54064158,0.08047377123433247,96.60571614976172,C,30.214285714285715,11.519250049075318,0.38125177467388754,X,CX
Under Armour Women's Ignite Slide,29398.80977828,0.07992263380155891,96.68563878356328,C,32.82142857142857,14.676899388541697,0.44717430128309854,X,CX
Bridgestone e6 Straight Distance NFL San Dieg,28982.93982142,0.07879206346480508,96.76443084702808,C,32.357142857142854,9.027588520604741,0.27899832072509134,X,CX
Columbia Men's PFG Anchor Tough T-Shirt,27840.0,0.07568490499500684,96.84011575202308,C,33.142857142857146,11.689546725408244,0.3527018408528349,X,CX
adidas Kids' F5 Messi FG Soccer Cleat,27327.19054016,0.07429079812544753,96.91440655014853,C,27.892857142857142,11.911212538066145,0.4270345084069809,X,CX
Nike Men's Deutschland Weltmeister Winners Bl,27210.0,0.07397220779145604,96.98837875793998,C,32.392857142857146,12.467258707612498,0.38487678479950377,X,CX
Nike Women's Tempo Shorts,27210.0,0.07397220779145604,97.06235096573144,C,32.392857142857146,12.305792931889423,0.3798921743030913,X,CX
Under Armour Women's Ignite PIP VI Slide,27127.519792220002,0.07374797982127652,97.13609894555272,C,30.285714285714285,10.41315813929004,0.34383069327844473,X,CX
Bridgestone e6 Straight Distance NFL Tennesse,25751.94975595,0.07000840052856558,97.20610734608128,C,28.75,10.970077146155017,0.3815679007358267,X,CX
Team Golf St. Louis Cardinals Putter Grip,23940.41977515,0.06508363492179636,97.27119098100307,C,34.214285714285715,11.412654259578586,0.333564007586848,X,CX
Team Golf Tennessee Volunteers Putter Grip,22865.849746840002,0.06216234431464392,97.33335332531772,C,32.67857142857143,10.42807311993491,0.3191104342712322,X,CX
LIJA Women's Mid-Length Panel Golf Shorts,22700.0,0.06171147066762411,97.39506479598533,C,37.833333333333336,21.065770023112535,0.5568044940029745,Y,CY
Team Golf Texas Longhorns Putter Grip,22366.049832380002,0.06080360476570651,97.45586840075104,C,31.964285714285715,8.908930778665171,0.27871515285209475,X,CX
Under Armour Kids' Mercenary Slide,22252.04978358,0.06049368799620744,97.51636208874726,C,28.392857142857142,9.863285027534767,0.3473861393345578,X,CX
Team Golf Pittsburgh Steelers Putter Grip,22166.12984186,0.06026010887888506,97.57662219762614,C,31.678571428571427,10.385365670298764,0.3278356694119114,X,CX
Team Golf San Francisco Giants Putter Grip,21766.2898108,0.05917311696925947,97.6357953145954,C,31.107142857142858,10.733606917542561,0.3450528056156047,X,CX
adidas Men's Germany Black Crest Away Tee,21475.0,0.05838122610516422,97.69417654070057,C,30.678571428571427,10.360371691561147,0.3377071098529827,X,CX
Bag Boy Beverage Holder,21116.549776390002,0.05740675515978485,97.75158329586036,C,30.178571428571427,9.337513236357603,0.30940872262486735,X,CX
Under Armour Men's Tech II T-Shirt,20866.649801890002,0.05672738533836649,97.80831068119872,C,29.821428571428573,10.15091154975775,0.34038984837511016,X,CX
Merrell Women's Grassbow Sport Hiking Shoe,20697.92999222,0.056268709233278494,97.864579390432,C,34.5,17.558473737771173,0.5089412677614833,Y,CY
Nike Men's Free TR 5.0 TB Training Shoe,20597.93996418,0.05599687964374347,97.92057627007574,C,34.333333333333336,21.12502465481796,0.6152919802374163,Y,CY
Team Golf New England Patriots Putter Grip,20566.76981798,0.05591214151321805,97.97648841158896,C,29.392857142857142,12.968164111518654,0.4412012091403673,X,CX
Glove It Women's Mod Oval 3-Zip Carry All Gol,20450.69974701,0.055596597249779535,98.03208500883873,C,33.214285714285715,12.982487186397432,0.3908705819560517,X,CX
Nike Women's Legend V-Neck T-Shirt,20025.0,0.05443930397000761,98.08652431280875,C,28.607142857142858,10.242754569158688,0.35804884885947974,X,CX
Nike Women's Free 5.0 TR FIT PRT 4 Training S,19567.940017240002,0.05319675578853456,98.13972106859728,C,34.333333333333336,16.070677231114644,0.46807797760528086,X,CX
Nike Dri-FIT Crew Sock 6 Pack,19426.0,0.05281088234313947,98.19253195094042,C,31.535714285714285,11.902325147438372,0.37742367398445575,X,CX
